NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude 37.54   Longitude 126.96
Elevation (meters): Average for one degree lat/lon region = 122   Site = na
Climate zone: 5 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1989 09 30    5.02
1989 10 01    5.01
1989 10 02    5.04
1989 10 03    5.04
1989 10 04    4.74
1989 10 05    2.04
1989 10 06    4.89
1989 10 07    4.93
1989 10 08    5.04
1989 10 09    4.95
1989 10 10    2.23
1989 10 11    2.46
1989 10 12    2.59
1989 10 13    4.44
1989 10 14    4.45
1989 10 15    1.51
1989 10 16    3.76
1989 10 17    4.54
1989 10 18    3.29
1989 10 19    2.26
1989 10 20    3.98
1989 10 21    4.22
1989 10 22    3.10
1989 10 23    4.28
1989 10 24    3.98
1989 10 25    3.84
1989 10 26    3.98
1989 10 27    2.61
1989 10 28    3.77
1989 10 29    3.79
1989 10 30    2.81
1989 10 31    1.93
1989 11 01    4.29
1989 11 02    3.84
1989 11 03    2.22
1989 11 04    0.71
1989 11 05    0.72
1989 11 06    1.14
1989 11 07    1.81
1989 11 08    2.09
1989 11 09    3.58
1989 11 10    3.72
1989 11 11    2.58
1989 11 12    1.06
1989 11 13    3.70
1989 11 14    3.54
1989 11 15    2.98
1989 11 16    3.33
1989 11 17    2.57
1989 11 18    2.10
1989 11 19    3.54
1989 11 20    3.15
1989 11 21    2.60
1989 11 22    3.05
1989 11 23    3.27
1989 11 24    3.04
1989 11 25    3.34
1989 11 26    2.71
1989 11 27    2.20
1989 11 28    2.88
1989 11 29    2.81
1989 11 30    3.17
1989 12 01    2.94
1989 12 02    2.75
1989 12 03    2.41
1989 12 04    3.12
1989 12 05    2.95
1989 12 06    2.73
1989 12 07    1.45
1989 12 08    3.12
1989 12 09    3.06
1989 12 10    1.17
1989 12 11    2.26
1989 12 12    3.10
1989 12 13    2.53
1989 12 14    2.72
1989 12 15    2.80
1989 12 16    1.73
1989 12 17    2.76
1989 12 18    2.76
1989 12 19    2.82
1989 12 20    1.68
1989 12 21    2.26
1989 12 22    2.32
1989 12 23    2.13
1989 12 24    1.77
1989 12 25    1.55
1989 12 26    2.92
1989 12 27    3.08
1989 12 28    1.93
1989 12 29    2.89
1989 12 30    3.06
1989 12 31    2.72
1990 01 01    2.45
1990 01 02    2.22
1990 01 03    3.29
1990 01 04    2.77
1990 01 05    1.30
1990 01 06    3.28
1990 01 07    3.16
1990 01 08    1.86
1990 01 09    1.50
1990 01 10    1.71
1990 01 11    2.12
1990 01 12    2.88
1990 01 13    3.48
1990 01 14    2.42
1990 01 15    2.19
1990 01 16    3.07
1990 01 17    2.50
1990 01 18    2.99
1990 01 19    3.42
1990 01 20    3.64
1990 01 21    2.86
1990 01 22    3.45
1990 01 23    3.39
1990 01 24    3.59
1990 01 25    3.83
1990 01 26    3.77
1990 01 27    2.83
1990 01 28    1.86
1990 01 29    2.11
1990 01 30    1.57
1990 01 31    1.94
1990 02 01    3.73
1990 02 02    3.06
1990 02 03    3.10
1990 02 04    2.42
1990 02 05    3.15
1990 02 06    3.61
1990 02 07    2.90
1990 02 08    3.80
1990 02 09    3.73
1990 02 10    1.07
1990 02 11    3.09
1990 02 12    4.45
1990 02 13    3.23
1990 02 14    2.69
1990 02 15    1.77
1990 02 16    4.53
1990 02 17    2.13
1990 02 18    0.65
1990 02 19    0.83
1990 02 20    2.71
1990 02 21    2.11
1990 02 22    1.16
1990 02 23    1.53
1990 02 24    2.25
1990 02 25    5.08
1990 02 26    5.13
1990 02 27    5.21
1990 02 28    4.84
1990 03 01    3.72
1990 03 02    4.29
1990 03 03    4.84
1990 03 04    4.70
1990 03 05    5.20
1990 03 06    5.22
1990 03 07    5.50
1990 03 08    5.66
1990 03 09    4.78
1990 03 10    2.98
1990 03 11    1.35
1990 03 12    5.40
1990 03 13    5.77
1990 03 14    1.60
1990 03 15    3.77
1990 03 16    5.97
1990 03 17    1.94
1990 03 18    6.06
1990 03 19    5.58
1990 03 20    3.50
1990 03 21    4.55
1990 03 22    3.88
1990 03 23    1.00
1990 03 24    3.21
1990 03 25    5.31
1990 03 26    6.46
1990 03 27    3.02
1990 03 28    1.24
1990 03 29    1.51
1990 03 30    1.91
1990 03 31    3.09
1990 04 01    4.11
1990 04 02    4.30
1990 04 03    1.99
1990 04 04    6.58
1990 04 05    6.72
1990 04 06    5.80
1990 04 07    0.85
1990 04 08    6.48
1990 04 09    6.00
1990 04 10    6.26
1990 04 11    5.76
1990 04 12    0.21
1990 04 13    1.07
1990 04 14    2.37
1990 04 15    4.58
1990 04 16    4.38
1990 04 17    7.00
1990 04 18    6.76
1990 04 19    6.44
1990 04 20    3.91
1990 04 21    5.93
1990 04 22    1.99
1990 04 23    4.07
1990 04 24    7.70
1990 04 25    4.69
1990 04 26    7.79
1990 04 27    4.95
1990 04 28    2.75
1990 04 29    6.94
1990 04 30    7.94
1990 05 01    1.96
1990 05 02    1.81
1990 05 03    1.30
1990 05 04    4.14
1990 05 05    5.45
1990 05 06    5.30
1990 05 07    3.63
1990 05 08    4.91
1990 05 09    6.63
1990 05 10    2.60
1990 05 11    4.94
1990 05 12    6.48
1990 05 13    1.79
1990 05 14    7.70
1990 05 15    7.86
1990 05 16    5.67
1990 05 17    2.47
1990 05 18    1.95
1990 05 19    5.12
1990 05 20    7.51
1990 05 21    6.89
1990 05 22    6.89
1990 05 23    6.44
1990 05 24    6.98
1990 05 25    5.87
1990 05 26    7.07
1990 05 27    7.07
1990 05 28    5.57
1990 05 29    4.73
1990 05 30    2.99
1990 05 31    1.66
1990 06 01    3.15
1990 06 02    5.27
