NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude -2.2   Longitude -65.7
Elevation (meters): Average for one degree lat/lon region = 55   Site = na
Climate zone: 1 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day)

YEAR MO DY swv_dwn
1989 09 30    4.82
1989 10 01    4.44
1989 10 02    3.86
1989 10 03    5.32
1989 10 04    4.11
1989 10 05    6.28
1989 10 06    5.55
1989 10 07    5.43
1989 10 08    6.37
1989 10 09    2.42
1989 10 10    6.12
1989 10 11    5.06
1989 10 12    4.03
1989 10 13    3.76
1989 10 14    5.68
1989 10 15    4.40
1989 10 16    6.48
1989 10 17    4.36
1989 10 18    4.43
1989 10 19    4.33
1989 10 20    6.84
1989 10 21    5.39
1989 10 22    5.14
1989 10 23    2.11
1989 10 24    5.23
1989 10 25    7.10
1989 10 26    6.47
1989 10 27    4.79
1989 10 28    2.89
1989 10 29    5.82
1989 10 30    5.42
1989 10 31    4.88
1989 11 01    5.57
1989 11 02    3.53
1989 11 03    5.36
1989 11 04    5.74
1989 11 05    3.07
1989 11 06    3.89
1989 11 07    6.01
1989 11 08    5.33
1989 11 09    6.22
1989 11 10    3.31
1989 11 11    5.90
1989 11 12    4.55
1989 11 13    5.84
1989 11 14    3.75
1989 11 15    4.95
1989 11 16    6.33
1989 11 17    5.49
1989 11 18    6.20
1989 11 19    4.86
1989 11 20    5.36
1989 11 21    4.40
1989 11 22    4.84
1989 11 23    5.95
1989 11 24    6.03
1989 11 25    4.38
1989 11 26    6.43
1989 11 27    5.89
1989 11 28    4.42
1989 11 29    4.83
1989 11 30    3.18
1989 12 01    5.69
1989 12 02    5.85
1989 12 03    5.81
1989 12 04    5.03
1989 12 05    6.67
1989 12 06    5.86
1989 12 07    5.87
1989 12 08    4.75
1989 12 09    4.21
1989 12 10    2.74
1989 12 11    3.87
1989 12 12    5.59
1989 12 13    5.69
1989 12 14    3.30
1989 12 15    5.23
1989 12 16    3.39
1989 12 17    4.75
1989 12 18    6.11
1989 12 19    4.51
1989 12 20    3.49
1989 12 21    3.21
1989 12 22    6.10
1989 12 23    6.70
1989 12 24    4.89
1989 12 25    5.93
1989 12 26    6.97
1989 12 27    6.12
1989 12 28    5.56
1989 12 29    5.42
1989 12 30    5.94
1989 12 31    5.72
1990 01 01    5.37
1990 01 02    6.37
1990 01 03    5.74
1990 01 04    1.32
1990 01 05    4.30
1990 01 06    4.94
1990 01 07    1.80
1990 01 08    5.33
1990 01 09    4.49
1990 01 10    4.55
1990 01 11    5.98
1990 01 12    5.44
1990 01 13    4.75
1990 01 14    3.10
1990 01 15    4.36
1990 01 16    2.60
1990 01 17    3.38
1990 01 18    5.32
1990 01 19    2.48
1990 01 20    2.22
1990 01 21    4.82
1990 01 22    5.68
1990 01 23    3.65
1990 01 24    3.98
1990 01 25    3.19
1990 01 26    5.14
1990 01 27    3.86
1990 01 28    5.37
1990 01 29    6.02
1990 01 30    1.96
1990 01 31    5.45
1990 02 01    4.60
1990 02 02    5.75
1990 02 03    4.43
1990 02 04    5.90
1990 02 05    3.35
1990 02 06    1.18
1990 02 07    4.82
1990 02 08    3.05
1990 02 09    6.07
1990 02 10    4.10
1990 02 11    5.45
1990 02 12    2.70
1990 02 13    5.18
1990 02 14    2.17
1990 02 15    4.25
1990 02 16    4.53
1990 02 17    2.48
1990 02 18    5.63
1990 02 19    5.67
1990 02 20    5.47
1990 02 21    6.64
1990 02 22    2.63
1990 02 23    6.02
1990 02 24    5.79
1990 02 25    5.12
1990 02 26    4.47
