NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude 62.4   Longitude -77.9
Elevation (meters): Average for one degree lat/lon region = 63   Site = na
Climate zone: 8 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day)

YEAR MO DY swv_dwn
1989 09 30    0.70
1989 10 01    1.58
1989 10 02    1.10
1989 10 03    1.59
1989 10 04    0.98
1989 10 05    1.91
1989 10 06    1.91
1989 10 07    1.33
1989 10 08    2.19
1989 10 09    1.23
1989 10 10    0.69
1989 10 11    0.82
1989 10 12    0.68
1989 10 13    0.43
1989 10 14    0.92
1989 10 15    1.07
1989 10 16    0.92
1989 10 17    1.32
1989 10 18    1.12
1989 10 19    0.67
1989 10 20    0.60
1989 10 21    0.76
1989 10 22    0.92
1989 10 23    0.54
1989 10 24    0.40
1989 10 25    0.81
1989 10 26    0.64
1989 10 27    0.70
1989 10 28    0.86
1989 10 29    0.60
1989 10 30    0.39
1989 10 31    0.58
1989 11 01    0.34
1989 11 02    0.62
1989 11 03    0.76
1989 11 04    0.86
1989 11 05    0.60
1989 11 06    0.66
1989 11 07    0.34
1989 11 08    0.54
1989 11 09    0.36
1989 11 10    0.28
1989 11 11    0.43
1989 11 12    0.41
1989 11 13    0.33
1989 11 14    0.30
1989 11 15    0.36
1989 11 16    0.43
1989 11 17    0.23
1989 11 18    0.28
1989 11 19    0.21
1989 11 20    0.37
1989 11 21    0.19
1989 11 22    0.27
1989 11 23    0.23
1989 11 24    0.25
1989 11 25    0.24
1989 11 26    0.23
1989 11 27    0.18
1989 11 28    0.19
1989 11 29    0.18
1989 11 30    0.17
1989 12 01    0.13
1989 12 02    0.18
1989 12 03    0.14
1989 12 04    0.17
1989 12 05    0.10
1989 12 06    0.11
1989 12 07    0.11
1989 12 08    0.12
1989 12 09    0.10
1989 12 10    0.08
1989 12 11    0.08
1989 12 12    0.09
1989 12 13    0.09
1989 12 14    0.12
1989 12 15    0.11
1989 12 16    0.10
1989 12 17    0.09
1989 12 18    0.09
1989 12 19    0.07
1989 12 20    0.06
1989 12 21    0.08
1989 12 22    0.08
1989 12 23    0.07
1989 12 24    0.07
1989 12 25    0.08
1989 12 26    0.08
1989 12 27    0.08
1989 12 28    0.08
1989 12 29    0.08
1989 12 30    0.08
1989 12 31    0.08
1990 01 01    0.12
1990 01 02    0.13
1990 01 03    0.13
1990 01 04    0.11
1990 01 05    0.12
1990 01 06    0.10
1990 01 07    0.10
1990 01 08    0.13
1990 01 09    0.13
1990 01 10    0.16
1990 01 11    0.18
1990 01 12    0.19
1990 01 13    0.19
1990 01 14    0.17
1990 01 15    0.23
1990 01 16    0.16
1990 01 17    0.26
1990 01 18    0.26
1990 01 19    0.32
1990 01 20    0.29
1990 01 21    0.28
1990 01 22    0.31
1990 01 23    0.29
1990 01 24    0.34
1990 01 25    0.38
1990 01 26    0.37
1990 01 27    0.31
1990 01 28    0.30
1990 01 29    0.37
1990 01 30    0.32
1990 01 31    0.39
1990 02 01    0.39
1990 02 02    0.50
1990 02 03    0.58
1990 02 04    0.52
1990 02 05    0.49
1990 02 06    0.78
1990 02 07    0.44
1990 02 08    0.66
1990 02 09    0.66
1990 02 10    0.79
1990 02 11    0.69
1990 02 12    0.95
1990 02 13    0.58
1990 02 14    0.24
1990 02 15    0.17
1990 02 16    0.84
1990 02 17    0.81
1990 02 18    0.90
1990 02 19    0.79
1990 02 20    0.69
1990 02 21    1.07
1990 02 22    0.58
1990 02 23    0.61
1990 02 24    0.80
1990 02 25    0.91
1990 02 26    0.58
1990 02 27    1.63
1990 02 28    1.01
1990 03 01    0.96
1990 03 02    0.90
1990 03 03    0.78
1990 03 04    0.59
1990 03 05    1.20
1990 03 06    1.49
1990 03 07    2.45
1990 03 08    2.57
1990 03 09    0.64
1990 03 10    0.66
1990 03 11    1.47
1990 03 12    1.15
1990 03 13    0.63
1990 03 14    1.85
1990 03 15    2.76
1990 03 16    2.39
1990 03 17    2.48
1990 03 18    2.26
1990 03 19    0.57
1990 03 20    1.10
